tdtindex,tdtsp,rid,fcid,consult,consent,legal_doc,individual_use,cws,communicat_use,advocacy,interview_s1,interview_s2,interview_s3,total,admsp,sjac,iu_del,com_pub,eva,note,status
1.0,YQ,R0005,8110020021,2021-01-19,2021-01-19,Yes,Yes,Yes,Yes,Yes,2021-03-03,2021-03-11,,2.0,,2021-01-26,2023-01-30,,,Communication is incomplete ,Incomplete pathways
2.0,SA,R0006,8110020017,2020-11-18,2020-11-23,Yes,Yes,Yes,Yes,Yes,2020-12-01,2020-12-09,,2.0,,2020-11-25,2021-05-24,2021-08-06,2021-08-18,,Completed 
3.0,SA,R0008,8110020020,2020-12-02,2020-12-08,Yes,Yes,Yes,Yes,No,2021-01-12,2021-01-28,,2.0,,2020-12-17,2021-06-25,,2021-09-30,,Completed 
4.0,YQ,R0010,8110020013,2021-02-17,2021-03-10,Yes,Yes,Yes,Yes,Yes,2021-04-07,2021-08-04,,2.0,,2021-03-31,2023-04-12,,,Communication is incomplete ,Incomplete pathways
5.0,YQ,R0019,8110020031,2020-12-14,2020-12-14,No,Yes,Yes,Yes,Yes,2021-01-26,2021-02-04,2021-02-15,3.0,,,,,,Individual & Communication are incomplete,Incomplete pathways
6.0,YQ,R0020,8110020027,2021-01-21,2021-01-28,Yes,Yes,Yes,No,Yes,2021-02-05,2021-02-12,2021-02-18,3.0,,2021-03-31,2023-05-25,,,Confirm if client chose communication or not?,Incomplete pathways
7.0,YQ,R0021,8110020030,2020-12-02,2021-12-02,Yes,Yes,Yes,Yes,Yes,2021-06-17,,2021-08-16,6.0,,2020-12-09,,,,Individual & Communication are incomplete,Incomplete pathways
8.0,SA,R0022,8110020032,2020-11-24,2020-11-27,Yes,Yes,Yes,Yes,No,2021-01-15,2021-01-28,,2.0,,2020-12-02,2022-02-14,,2022-02-24,,Completed 
9.0,SA,R0024,8110020012,2020-12-01,2020-12-08,Yes,Yes,Yes,Yes,Yes,2021-07-12,2021-07-15,,2.0,2020-02-01,2021-01-26,2023-01-09,,,Communication is incomplete ,Incomplete pathways
10.0,SA,R0032,8110020037,2021-08-19,2021-09-01,Yes,Yes,No,Yes,Yes,2021-09-13,2021-09-20,,2.0,,2021-09-08,2023-01-09,,,Communication and CDW is incomplete,Incomplete pathways
