rid,fcid,service,date
R0571,8110080004,psfua12,2024-07-16
R0451,8110090005,psfua12,2024-07-31
R0460,8110090003,psfua12,2024-07-16
R0574,8110080007,psfua12,2024-07-25
R0573,8110080008,psfua12,2024-07-23
R0518,8110090004,psfua12,2024-07-22
R0591,8110050092,psfua12,2024-07-29
R0487,8110080005,psfua12,2024-08-13
R0599,8110050093,psfua12,2024-08-15
R0120,8110020106,psfua12,2024-08-12
R0337,8110020100,psfua12,2024-08-12
R0485,8110020104,psfua12,2024-08-20
R0298,8110020089,psfua12,2024-08-16
R0540,8110050091,psfua12,2024-08-13
R0290,8110020085,psfua12,2024-08-29
