rid,fcid,service,date,need,entity,family_of_missing,survivor_of_detention,primary_torture,secondary_torture,sexual_violation_a,sexual_violation_p,hrd,journalist,wov,stgbv,lgbti,other,sex,age
R1174,,cm,2024-01-05,MHPSS,سامز,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Male,47
R0406,8110050045.0,cm,2024-01-05,Physical Therapy,سامز,No,Yes,Yes,Yes,,,,,Yes,Yes,No,No,Female,50
R1125,,cm,2024-01-08,MHPSS,TMH,,,,,,,,,,,,,Female,48
R1161,,cm,2024-01-08,MHPSS,TMH,,,,,,,,,,,,,Male,29
R1162,,cm,2024-01-08,MHPSS,TMH,,,,,,,,,,,,,Female,21
R1164,,cm,2024-01-08,MHPSS,TMH,,,,,,,,,,,,,Male,56
R1143,,cm,2024-01-08,MHPSS,TMH,,,,,,,,,,,,,Female,23
R1167,,cm,2024-01-08,MHPSS,TMH,,,,,,,,,,,,,Male,29
R0765,,cm,2024-01-08,MHPSS,TMH,,,,,,,,,,,,,Female,44
R1170,,cm,2024-01-08,MHPSS,TMH,,,,,,,,,,,,,Male,45
R0780,,cm,2024-01-08,MHPSS,TMH,,,,,,,,,,,,,Male,47
R1172,,cm,2024-01-08,MHPSS,TMH,,,,,,,,,,,,,Male,53
R1173,,cm,2024-01-08,MHPSS,TMH,,,,,,,,,,,,,Male,38
R0771,,cm,2024-02-02,MHPSS,TMH,,,,,,,,,,,,,Male,43
R0807,,cm,2024-02-02,MHPSS,TMH,,,,,,,,,,,,,Male,57
R0790,,cm,2024-02-02,MHPSS,TMH,,,,,,,,,,,,,Female,40
R0781,,cm,2024-02-02,MHPSS,TMH,,,,,,,,,,,,,Female,35
R0788,,cm,2024-02-02,MHPSS,TMH,,,,,,,,,,,,,Male,35
R1213,,cm,2024-02-02,MHPSS,TMH,,,,,,,,,,,,,Male,30
R1204,,cm,2024-02-02,MHPSS,TMH,,,,,,,,,,,,,Female,54
R0510,8110050090.0,cm,2024-02-14,Cash assistance,WHH,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Female,60
R0870,8110110009.0,cm,2024-02-14,Cash assistance,WHH,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Female,47
R0378,8110050066.0,cm,2024-02-14,Cash assistance,WHH,Yes,No,No,Yes,,,,,Yes,No,No,No,Female,38
R0638,8110020121.0,cm,2024-02-14,Cash assistance,WHH,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Female,35
